"","SOC10","SOCNEW"
"354",9235,9235
"355",9236,9233
"356",9239,9239
"357",9241,9241
"358",9242,9242
"359",9244,9244
"360",9249,9249
"361",9251,9251
"362",9259,9259
"363",9260,9260
"364",9271,9279
"365",9272,9272
"366",9273,9273
"367",9274,9274
"368",9275,9275
"369",9279,9279
"370",-9,-9
"371",-8,-8
