"","SC102KM","SOC10M","from","to","SOC2KM"
"581",3232,3234,0.223497620804301,0.449321362438456,NA
"582",3232,3235,0.449321362438456,0.584252096457351,NA
"583",3232,3239,0.584252096457351,0.983569068752269,NA
"584",3232,6126,0.983569068752269,0.986166461138056,NA
"585",3232,6144,0.986166461138056,0.987020901014713,NA
"586",3232,6145,0.987020901014713,1,NA
"587",3311,3113,0,0.0339811700830833,NA
"588",3311,3311,0.0339811700830833,1,NA
"589",3312,1172,0,0.00909108568542513,NA
"590",3312,3312,0.00909108568542513,0.978984495758326,NA
"591",3312,3315,0.978984495758326,1,NA
"592",3313,3313,0,1,NA
"593",3314,3314,0,1,NA
"594",3319,3315,0,0.0433421296021315,NA
"595",3319,3319,0.0433421296021315,1,NA
"596",3411,3411,0,1,NA
"597",3412,3412,0,1,NA
"598",3413,3413,0,1,NA
"599",3414,3414,0,1,NA
"600",3415,3415,0,1,NA
"601",3416,2473,0,0.0175303314930724,NA
"602",3416,3416,0.0175303314930724,1,NA
"603",3421,2137,0,0.263459354892973,NA
"604",3421,3421,0.263459354892973,1,NA
"605",3422,3422,0,1,NA
"606",3431,2137,0,0.0256061145891654,NA
"607",3431,2471,0.0256061145891654,0.979288610644543,NA
"608",3431,3416,0.979288610644543,1,NA
"609",3432,2424,0,0.0039315227971067,NA
"610",3432,2471,0.0039315227971067,0.0817158743185042,NA
"611",3432,3413,0.0817158743185042,0.200965704143367,NA
"612",3432,3416,0.200965704143367,0.961632663447653,NA
"613",3432,3417,0.961632663447653,1,NA
"614",3433,2429,0,0.0183442814836609,NA
"615",3433,2472,0.0183442814836609,0.96623449722725,NA
"616",3433,3561,0.96623449722725,0.995535457295818,NA
"617",3433,4213,0.995535457295818,1,NA
"618",3434,3417,0,0.985322646715565,NA
"619",3434,8127,0.985322646715565,0.988792963526893,NA
"620",3434,9251,0.988792963526893,1,NA
"621",3441,3441,0,0.946112864365944,NA
"622",3441,3442,0.946112864365944,1,NA
"623",3442,3442,0,0.979282706753643,NA
"624",3442,6211,0.979282706753643,1,NA
"625",3443,3414,0,0.0106479650199382,NA
"626",3443,3443,0.0106479650199382,1,NA
"627",3449,3442,0,0.910492060745611,NA
"628",3449,3443,0.910492060745611,0.920354571227024,NA
"629",3449,3563,0.920354571227024,0.953841853779298,NA
"630",3449,6145,0.953841853779298,1,NA
"631",3511,3511,0,0.948506610086502,NA
"632",3511,8233,0.948506610086502,1,NA
"633",3512,3512,0,1,NA
"634",3513,3513,0,1,NA
"635",3514,8231,0,1,NA
"636",3520,3520,0,1,NA
"637",3531,2462,0,0.0112883720557731,NA
"638",3531,3531,0.0112883720557731,1,NA
"639",3532,3532,0,1,NA
"640",3533,3533,0,1,NA
"641",3534,2139,0,0.00549470585747022,NA
"642",3534,2424,0.00549470585747022,0.018276789061349,NA
"643",3534,3534,0.018276789061349,0.996782234902687,NA
"644",3534,4129,0.996782234902687,0.998847672517281,NA
"645",3534,4151,0.998847672517281,1,NA
"646",3535,3535,0,1,NA
"647",3536,3536,0,1,NA
"648",3537,3537,0,1,NA
"649",3539,2119,0,0.000735408897753881,NA
"650",3539,2129,0.000735408897753881,0.00241783019686064,NA
"651",3539,2133,0.00241783019686064,0.0035070679039112,NA
"652",3539,2135,0.0035070679039112,0.00657705316104414,NA
"653",3539,2424,0.00657705316104414,0.00837741739658312,NA
"654",3539,2426,0.00837741739658312,0.0163871303442893,NA
"655",3539,2429,0.0163871303442893,0.020901916572717,NA
"656",3539,2462,0.020901916572717,0.02304396843292,NA
"657",3539,3113,0.02304396843292,0.0243517474633596,NA
"658",3539,3116,0.0243517474633596,0.0424941462145521,NA
"659",3539,3235,0.0424941462145521,0.0469777122539242,NA
"660",3539,3539,0.0469777122539242,0.825081952996271,NA
"661",3539,3543,0.825081952996271,0.827173705662995,NA
"662",3539,3546,0.827173705662995,0.991985083687451,NA
"663",3539,4131,0.991985083687451,0.992916485994276,NA
"664",3539,6139,0.992916485994276,0.99629520423207,NA
"665",3539,8133,0.99629520423207,1,NA
"666",3541,1133,0,0.00256610070764556,NA
"667",3541,3541,0.00256610070764556,1,NA
"668",3542,3542,0,0.741929830297878,NA
"669",3542,4151,0.741929830297878,0.954736945361802,NA
"670",3542,4162,0.954736945361802,0.95738809142334,NA
"671",3542,7115,0.95738809142334,0.998230389432037,NA
"672",3542,7121,0.998230389432037,1,NA
"673",3543,2142,0,0.00352826864840811,NA
"674",3543,2429,0.00352826864840811,0.00634488367713259,NA
"675",3543,2473,0.00634488367713259,0.00956982455321652,NA
"676",3543,3116,0.00956982455321652,0.0116731193261457,NA
"677",3543,3543,0.0116731193261457,0.972772165843626,NA
"678",3543,4151,0.972772165843626,1,NA
"679",3544,3544,0,1,NA
"680",3551,2141,0,0.287906744696184,NA
"681",3551,2142,0.287906744696184,0.938278546370281,NA
"682",3551,2429,0.938278546370281,0.958527681208771,NA
"683",3551,2462,0.958527681208771,0.962439715862746,NA
"684",3551,2463,0.962439715862746,0.979798379752449,NA
"685",3551,3550,0.979798379752449,0.984248913103732,NA
"686",3551,3565,0.984248913103732,0.991154366986862,NA
"687",3551,9232,0.991154366986862,1,NA
"688",3552,2142,0,0.0806294029927495,NA
"689",3552,3550,0.0806294029927495,0.950429372139662,NA
"690",3552,5114,0.950429372139662,1,NA
"691",3561,2142,0,0.00537304578212535,NA
"692",3561,2424,0.00537304578212535,0.0179258829795123,NA
"693",3561,2429,0.0179258829795123,0.194353245737631,NA
"694",3561,3235,0.194353245737631,0.20433079624898,NA
"695",3561,3561,0.20433079624898,0.951035845024371,NA
"696",3561,4159,0.951035845024371,1,NA
"697",3562,3239,0,0.0053107822410148,NA
"698",3562,3562,0.0053107822410148,0.928422832980973,NA
"699",3562,4138,0.928422832980973,1,NA
"700",3563,3563,0,0.970938119850553,NA
"701",3563,3564,0.970938119850553,0.97644883878872,NA
"702",3563,3565,0.97644883878872,0.978262151809353,NA
"703",3563,4138,0.978262151809353,1,NA
"704",3564,3539,0,0.0233878847093307,NA
"705",3564,3564,0.0233878847093307,1,NA
"706",3565,3565,0,1,NA
"707",3566,3565,0,1,NA
"708",3567,2219,0,0.0987561322994145,NA
"709",3567,3567,0.0987561322994145,1,NA
"710",3568,2463,0,0.740878384563279,NA
"711",3568,3565,0.740878384563279,1,NA
"712",4111,3561,0,0.669226084568262,NA
"713",4111,4112,0.669226084568262,1,NA
"714",4112,2429,0,0.00121379768194517,NA
"715",4112,2462,0.00121379768194517,0.00355398190921413,NA
"716",4112,3561,0.00355398190921413,0.0101529694890874,NA
"717",4112,3567,0.0101529694890874,0.0129844264335703,NA
